url,concurrency,weight,total_requests,total_time,average_request_time,percentile_25_request_time,percentile_50_request_time,percentile_75_request_time,percentile_95_request_time,percentile_99_request_time
http://plumber-dlb:8000/,8,10,150,5.5967917,0.29068798,0.15030444,0.21313691,0.45049092,0.6643772,0.91361594
http://plumber-dlb:8000/,8,20,150,10.408719,0.5346996,0.2030901,0.50388247,0.80578405,1.1111102,1.3134818
http://plumber-dlb:8000/,8,30,150,14.191279,0.72170603,0.45186394,0.6052369,0.90744,1.660877,1.9542084
http://plumber-dlb:8000/,8,40,150,20.903053,1.0558927,0.60282105,0.8058208,1.4066937,2.4111872,3.0148149
http://plumber-dlb:8000/,8,50,150,25.606722,1.2972164,0.7520154,1.0063261,2.0075421,2.782717,3.5094843
http://plumber-dlb:8000/,8,60,150,31.009563,1.5735989,0.90248334,1.5084484,2.1071565,3.0073683,3.3297129
http://plumber-dlb:8000/,8,70,150,33.355137,1.7227318,0.7029172,1.4042958,2.805466,3.8615599,4.913004
http://plumber-dlb:8000/,8,80,150,41.30981,2.093645,1.2017487,1.6037083,3.2069001,5.205687,6.0160213
http://plumber-dlb:8000/,8,90,150,49.161255,2.4897637,1.346566,1.8047261,3.1575642,6.761406,8.113446
http://plumber-dlb:8000/,8,100,150,46.094093,2.3083327,1.5020933,2.0043063,3.0063314,5.00712,7.0159163
http://faucet:8080/,8,10,150,3.9427626,0.20345047,0.15013684,0.20134178,0.25506043,0.3593641,0.53850746
http://faucet:8080/,8,20,150,7.6895514,0.39789084,0.20967388,0.4027865,0.5039746,0.8122574,1.0108176
http://faucet:8080/,8,30,150,11.491124,0.59562546,0.44326025,0.5990616,0.7494619,1.0587801,1.9679773
http://faucet:8080/,8,40,150,15.091066,0.792492,0.5989409,0.7961285,1.0045271,1.8101009,2.2092648
http://faucet:8080/,8,50,150,19.08653,0.98607206,0.7469744,0.9949416,1.2543166,2.0081198,2.51364
http://faucet:8080/,8,60,150,23.195381,1.1873142,0.8905512,1.1795688,1.5016475,2.1172123,3.32885
http://faucet:8080/,8,70,150,26.694317,1.3837596,1.047112,1.3986006,1.7534108,2.1176703,4.2298174
http://faucet:8080/,8,80,150,30.488556,1.5806816,1.2021546,1.6016669,2.004482,2.808011,4.4129066
http://faucet:8080/,8,90,150,34.28359,1.7774523,1.3492076,1.8005061,2.2536457,3.60857,4.499774
http://faucet:8080/,8,100,150,38.087494,1.9743569,1.0089914,2.0003812,2.5013177,4.5072036,5.5109444
